UTC,ISO8601,Hour,Open,Highest,Lowest,Closing,Volume
1546304400000,2018-12-31T20:00:00,20,3700.2,3702.73,3684.22,3689.69,613.539115
1546308000000,2018-12-31T21:00:00,21,3689.67,3695.95,3675.04,3690.0,895.302181
1546311600000,2018-12-31T22:00:00,22,3690.0,3699.77,3685.78,3693.13,796.7148179999999
1546315200000,2018-12-31T23:00:00,23,3692.32,3720.0,3685.94,3692.71,1317.452909
1546318800000,2019-01-01T00:00:00,0,3693.98,3704.44,3692.73,3699.94,572.402228
1546322400000,2019-01-01T01:00:00,1,3699.95,3713.93,3697.0,3703.56,660.279771
1546326000000,2019-01-01T02:00:00,2,3703.63,3726.64,3703.34,3713.83,823.625491
1546329600000,2019-01-01T03:00:00,3,3714.19,3731.19,3707.0,3716.7,887.1013619999999
1546333200000,2019-01-01T04:00:00,4,3716.98,3732.0,3696.14,3699.95,955.8790339999999
1546336800000,2019-01-01T05:00:00,5,3699.96,3717.11,3698.0,3713.07,534.1139450000001
1546340400000,2019-01-01T06:00:00,6,3713.07,3722.22,3706.88,3707.54,600.664642
1546344000000,2019-01-01T07:00:00,7,3707.56,3725.0,3698.25,3717.0,654.27771
1546347600000,2019-01-01T08:00:00,8,3717.0,3756.94,3708.41,3715.93,941.7856949999999
1546351200000,2019-01-01T09:00:00,9,3715.23,3717.0,3684.21,3698.53,1127.366632
1546354800000,2019-01-01T10:00:00,10,3698.28,3698.87,3666.01,3682.61,996.688532
1546358400000,2019-01-01T11:00:00,11,3683.0,3696.23,3677.48,3693.54,629.1802799999999
1546362000000,2019-01-01T12:00:00,12,3693.5,3701.68,3675.01,3686.32,380.215487
1546365600000,2019-01-01T13:00:00,13,3686.34,3686.35,3642.0,3659.41,1083.207096
1546369200000,2019-01-01T14:00:00,14,3659.56,3699.99,3659.56,3696.73,1155.5131119999999
1546372800000,2019-01-01T15:00:00,15,3696.71,3726.93,3675.67,3719.0,2021.170948
1546376400000,2019-01-01T16:00:00,16,3719.0,3730.01,3700.0,3708.21,1105.501735
1546380000000,2019-01-01T17:00:00,17,3707.98,3717.07,3692.42,3711.2,624.620136
1546383600000,2019-01-01T18:00:00,18,3712.85,3810.16,3706.43,3797.14,3678.716754
1546387200000,2019-01-01T19:00:00,19,3796.45,3810.0,3763.75,3778.02,2094.025159
1546390800000,2019-01-01T20:00:00,20,3778.62,3792.0,3765.75,3770.0,912.8111130000001
1546394400000,2019-01-01T21:00:00,21,3769.98,3785.1,3768.0,3783.28,719.302757
1546398000000,2019-01-01T22:00:00,22,3783.28,3796.22,3773.79,3779.98,770.368067
1546401600000,2019-01-01T23:00:00,23,3780.0,3788.31,3765.0,3776.41,748.260209
1546405200000,2019-01-02T00:00:00,0,3776.16,3778.42,3768.0,3773.04,415.849513
1546408800000,2019-01-02T01:00:00,1,3773.04,3775.0,3750.45,3758.53,916.986058
1546412400000,2019-01-02T02:00:00,2,3758.53,3778.54,3755.4,3771.08,1338.79474
1546416000000,2019-01-02T03:00:00,3,3772.64,3800.0,3770.09,3781.35,2216.579225
1546419600000,2019-01-02T04:00:00,4,3780.81,3786.24,3770.0,3775.0,1483.627847
1546423200000,2019-01-02T05:00:00,5,3773.84,3794.4,3770.03,3788.0,1117.136593
1546426800000,2019-01-02T06:00:00,6,3788.22,3803.68,3777.82,3787.97,1395.941655
1546430400000,2019-01-02T07:00:00,7,3788.81,3793.72,3778.23,3792.51,1179.766158
1546434000000,2019-01-02T08:00:00,8,3793.12,3839.63,3790.82,3825.65,2589.868431
1546437600000,2019-01-02T09:00:00,9,3825.19,3834.26,3796.51,3811.24,2325.654093
1546441200000,2019-01-02T10:00:00,10,3812.17,3815.0,3785.75,3801.28,1359.5813269999999
1546444800000,2019-01-02T11:00:00,11,3802.61,3865.72,3795.0,3824.89,2696.187308
1546448400000,2019-01-02T12:00:00,12,3824.89,3845.78,3811.01,3822.6,2166.328561
1546452000000,2019-01-02T13:00:00,13,3822.62,3833.0,3807.0,3828.87,1203.590309
1546455600000,2019-01-02T14:00:00,14,3827.22,3830.19,3801.14,3824.98,921.4759939999999
1546459200000,2019-01-02T15:00:00,15,3824.98,3854.35,3812.34,3849.0,1189.427606
1546462800000,2019-01-02T16:00:00,16,3849.27,3876.0,3830.06,3856.68,1770.790639
1546466400000,2019-01-02T17:00:00,17,3857.36,3876.0,3842.46,3862.12,1464.303496
1546470000000,2019-01-02T18:00:00,18,3861.62,3882.14,3851.0,3858.56,2159.806511
1546473600000,2019-01-02T19:00:00,19,3857.57,3862.74,3828.7,3830.78,1754.761595
1546477200000,2019-01-02T20:00:00,20,3830.76,3843.24,3821.14,3835.96,1334.960909
1546480800000,2019-01-02T21:00:00,21,3835.96,3844.99,3825.85,3833.47,651.947136
1546484400000,2019-01-02T22:00:00,22,3833.69,3847.05,3832.0,3841.83,732.021603
1546488000000,2019-01-02T23:00:00,23,3841.83,3850.0,3833.7,3834.59,649.628917
1546491600000,2019-01-03T00:00:00,0,3834.7,3840.31,3805.0,3824.38,1094.336108
1546495200000,2019-01-03T01:00:00,1,3824.38,3829.89,3813.62,3820.53,774.978958
1546498800000,2019-01-03T02:00:00,2,3821.81,3837.52,3820.39,3828.88,706.28305
1546502400000,2019-01-03T03:00:00,3,3828.88,3832.83,3796.0,3805.0,1539.5187369999999
1546506000000,2019-01-03T04:00:00,4,3805.85,3814.96,3783.0,3805.81,1663.6388550000001
1546509600000,2019-01-03T05:00:00,5,3806.13,3819.0,3804.07,3811.52,1319.359017
1546513200000,2019-01-03T06:00:00,6,3810.61,3813.51,3787.29,3804.0,1649.230215
1546516800000,2019-01-03T07:00:00,7,3803.31,3823.0,3795.33,3818.02,1243.81332
1546520400000,2019-01-03T08:00:00,8,3817.17,3822.0,3809.35,3817.36,1097.353713
1546524000000,2019-01-03T09:00:00,9,3816.64,3817.37,3790.04,3796.7,1187.831704
1546527600000,2019-01-03T10:00:00,10,3796.79,3811.89,3785.32,3806.7,1340.266726
1546531200000,2019-01-03T11:00:00,11,3807.37,3807.75,3730.0,3738.0,3271.1721399999997
1546534800000,2019-01-03T12:00:00,12,3738.71,3762.04,3732.19,3748.46,2025.998359
1546538400000,2019-01-03T13:00:00,13,3748.46,3759.33,3738.0,3757.89,1021.63925
1546542000000,2019-01-03T14:00:00,14,3757.58,3763.71,3740.11,3756.0,771.584632
1546545600000,2019-01-03T15:00:00,15,3756.0,3782.25,3752.37,3780.03,760.416581
1546549200000,2019-01-03T16:00:00,16,3779.99,3782.69,3768.23,3771.26,1333.486625
1546552800000,2019-01-03T17:00:00,17,3771.27,3781.4,3757.14,3773.79,959.792717
1546556400000,2019-01-03T18:00:00,18,3773.42,3775.53,3757.87,3766.78,522.927492
1546560000000,2019-01-03T19:00:00,19,3767.2,3767.21,3730.0,3750.3,1249.546728
1546563600000,2019-01-03T20:00:00,20,3750.53,3776.89,3749.67,3766.23,793.94147
1546567200000,2019-01-03T21:00:00,21,3765.67,3766.48,3750.41,3758.65,583.3280940000001
1546570800000,2019-01-03T22:00:00,22,3759.33,3787.65,3752.41,3780.04,981.9115619999999
1546574400000,2019-01-03T23:00:00,23,3780.04,3793.0,3761.94,3775.33,1290.111753
1546578000000,2019-01-04T00:00:00,0,3776.18,3788.53,3764.37,3779.9,982.0135349999999
1546581600000,2019-01-04T01:00:00,1,3779.9,3797.52,3775.92,3783.02,1406.840685
1546585200000,2019-01-04T02:00:00,2,3783.34,3800.0,3779.54,3783.28,1150.958402
1546588800000,2019-01-04T03:00:00,3,3783.28,3800.0,3766.75,3771.34,1487.042166
1546592400000,2019-01-04T04:00:00,4,3771.35,3789.9,3757.0,3764.35,1358.1022380000002
1546596000000,2019-01-04T05:00:00,5,3764.03,3777.16,3756.48,3775.48,849.6485210000001
1546599600000,2019-01-04T06:00:00,6,3775.46,3777.77,3752.0,3757.55,926.7264880000001
1546603200000,2019-01-04T07:00:00,7,3754.05,3765.0,3739.0,3755.52,1467.2347320000001
1546606800000,2019-01-04T08:00:00,8,3755.95,3757.52,3742.08,3744.0,1476.93285
1546610400000,2019-01-04T09:00:00,9,3744.62,3751.94,3703.62,3717.14,2731.97833
1546614000000,2019-01-04T10:00:00,10,3715.58,3728.59,3703.57,3725.28,1424.7868019999999
1546617600000,2019-01-04T11:00:00,11,3725.3,3754.0,3717.3,3747.5,1245.430684
1546621200000,2019-01-04T12:00:00,12,3747.5,3749.5,3735.03,3745.22,929.2091019999999
1546624800000,2019-01-04T13:00:00,13,3745.43,3745.96,3726.99,3730.0,828.8959169999999
1546628400000,2019-01-04T14:00:00,14,3730.41,3746.59,3729.02,3739.53,822.2867150000001
1546632000000,2019-01-04T15:00:00,15,3739.74,3786.0,3733.46,3764.24,1359.295482
1546635600000,2019-01-04T16:00:00,16,3762.36,3823.64,3760.21,3802.36,2242.107164
1546639200000,2019-01-04T17:00:00,17,3802.59,3816.18,3778.51,3790.98,1203.466166
1546642800000,2019-01-04T18:00:00,18,3792.35,3800.98,3787.57,3792.01,727.7590849999999
1546646400000,2019-01-04T19:00:00,19,3790.09,3838.7,3788.97,3811.76,2440.690197
1546650000000,2019-01-04T20:00:00,20,3811.79,3827.41,3783.25,3803.58,2262.7490780000003
1546653600000,2019-01-04T21:00:00,21,3803.56,3820.13,3802.43,3811.88,1318.638944
1546657200000,2019-01-04T22:00:00,22,3813.16,3822.27,3803.25,3815.0,1107.4792710000002
1546660800000,2019-01-04T23:00:00,23,3815.35,3826.39,3812.09,3815.72,1224.004168
1546664400000,2019-01-05T00:00:00,0,3815.72,3840.99,3815.72,3834.01,1477.733328
1546668000000,2019-01-05T01:00:00,1,3834.01,3835.08,3792.0,3799.45,2015.473573
1546671600000,2019-01-05T02:00:00,2,3799.71,3804.99,3780.13,3785.15,956.110214
1546675200000,2019-01-05T03:00:00,3,3784.37,3798.84,3783.76,3793.56,614.93263
1546678800000,2019-01-05T04:00:00,4,3793.01,3796.94,3787.03,3790.36,658.552407
1546682400000,2019-01-05T05:00:00,5,3789.72,3793.81,3770.0,3787.94,955.9337109999999
1546686000000,2019-01-05T06:00:00,6,3788.79,3812.63,3787.53,3801.26,859.3981759999999
