UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1546387200000,2019-01-01T19:00:00,Tuesday,3796.45,3882.14,3750.45,3858.56,35156.463369
1546473600000,2019-01-02T19:00:00,Wednesday,3857.57,3862.74,3730.0,3766.78,29406.948358999998
1546560000000,2019-01-03T19:00:00,Thursday,3767.2,3823.64,3703.57,3792.01,29519.554670999998
1546646400000,2019-01-04T19:00:00,Friday,3790.09,3840.99,3751.0,3770.96,30490.667751
1546732800000,2019-01-05T19:00:00,Saturday,3771.12,4027.71,3740.0,3987.6,36553.806709
1546819200000,2019-01-06T19:00:00,Sunday,3987.62,4017.9,3921.53,3975.45,31869.846264
1546905600000,2019-01-07T19:00:00,Monday,3976.76,4069.8,3903.0,3955.13,38901.423122
1546992000000,2019-01-08T19:00:00,Tuesday,3955.45,4006.81,3930.04,3966.65,28989.439511
1547078400000,2019-01-09T19:00:00,Wednesday,3966.06,3996.01,3540.0,3585.88,59402.22851
1547164800000,2019-01-10T19:00:00,Thursday,3585.88,3658.0,3465.0,3601.31,38338.654732999996
1547251200000,2019-01-11T19:00:00,Friday,3601.31,3618.19,3530.0,3583.13,21999.928354
1547337600000,2019-01-12T19:00:00,Saturday,3584.1,3611.1,3441.3,3476.81,26385.757454
1547424000000,2019-01-13T19:00:00,Sunday,3477.56,3671.87,3467.02,3626.09,35235.211214999996
1547510400000,2019-01-14T19:00:00,Monday,3626.08,3648.42,3516.62,3553.06,34137.997459
1547596800000,2019-01-15T19:00:00,Tuesday,3553.06,3645.0,3543.51,3591.84,27480.179977
1547683200000,2019-01-16T19:00:00,Wednesday,3591.84,3634.7,3530.39,3616.21,29755.440838
1547769600000,2019-01-17T19:00:00,Thursday,3613.32,3620.0,3565.75,3594.87,22713.446755
1547856000000,2019-01-18T19:00:00,Friday,3594.87,3720.0,3594.23,3665.3,22171.578123
1547942400000,2019-01-19T19:00:00,Saturday,3665.75,3693.73,3475.0,3539.28,27901.938598
1548028800000,2019-01-20T19:00:00,Sunday,3539.26,3559.51,3475.5,3526.9,19644.436838999998
1548115200000,2019-01-21T19:00:00,Monday,3526.88,3608.5,3434.85,3570.93,29336.442967000003
1548201600000,2019-01-22T19:00:00,Tuesday,3570.41,3607.98,3514.5,3552.82,24938.842698
1548288000000,2019-01-23T19:00:00,Wednesday,3552.97,3589.0,3529.22,3569.62,20826.251180000003
1548374400000,2019-01-24T19:00:00,Thursday,3569.07,3587.15,3522.51,3565.29,17608.346671
1548460800000,2019-01-25T19:00:00,Friday,3566.69,3662.94,3545.0,3565.25,19476.532344
1548547200000,2019-01-26T19:00:00,Saturday,3565.62,3579.0,3486.0,3550.84,22735.598162000002
1548633600000,2019-01-27T19:00:00,Sunday,3550.05,3557.75,3380.27,3434.15,40405.111401
1548720000000,2019-01-28T19:00:00,Monday,3434.0,3443.45,3349.92,3411.04,29544.928977
1548806400000,2019-01-29T19:00:00,Tuesday,3410.04,3478.0,3387.1,3458.18,23968.260243
1548892800000,2019-01-30T19:00:00,Wednesday,3457.5,3489.2,3418.8,3434.1,29607.190252999997
1548979200000,2019-01-31T19:00:00,Thursday,3434.1,3488.0,3401.2,3462.07,25260.476159
1549065600000,2019-02-01T19:00:00,Friday,3462.2,3526.4,3440.29,3504.77,17920.802
1549152000000,2019-02-02T19:00:00,Saturday,3504.06,3511.09,3426.0,3458.11,19867.33639
1549238400000,2019-02-03T19:00:00,Sunday,3458.11,3484.88,3433.31,3463.22,23131.981108
1549324800000,2019-02-04T19:00:00,Monday,3463.22,3478.97,3448.43,3471.59,25264.41503
1549411200000,2019-02-05T19:00:00,Tuesday,3471.57,3482.72,3380.0,3405.37,35310.244846
1549497600000,2019-02-06T19:00:00,Wednesday,3407.0,3426.45,3390.0,3398.4,18665.538637999998
1549584000000,2019-02-07T19:00:00,Thursday,3398.4,3733.58,3373.1,3659.04,47968.058013
1549670400000,2019-02-08T19:00:00,Friday,3660.27,3680.02,3625.13,3665.18,24759.833719
1549756800000,2019-02-09T19:00:00,Saturday,3665.18,3684.99,3609.76,3680.06,23250.602634
1549843200000,2019-02-10T19:00:00,Sunday,3679.75,3684.9,3615.53,3631.05,24954.614571000002
1549929600000,2019-02-11T19:00:00,Monday,3631.05,3667.6,3582.34,3631.46,29479.59823
1550016000000,2019-02-12T19:00:00,Tuesday,3631.51,3670.0,3591.75,3609.4,25773.997648
1550102400000,2019-02-13T19:00:00,Wednesday,3608.34,3626.4,3568.11,3590.56,21753.501261
1550188800000,2019-02-14T19:00:00,Thursday,3590.57,3653.23,3573.45,3602.47,20777.872899
1550275200000,2019-02-15T19:00:00,Friday,3602.49,3648.2,3597.91,3618.41,19565.992750999998
1550361600000,2019-02-16T19:00:00,Saturday,3617.22,3700.11,3604.4,3667.58,25690.227779
1550448000000,2019-02-17T19:00:00,Sunday,3667.62,3925.0,3655.0,3898.6,64042.730491999995
1550534400000,2019-02-18T19:00:00,Monday,3897.35,3994.52,3856.0,3907.79,50207.172667
1550620800000,2019-02-19T19:00:00,Tuesday,3907.35,3986.98,3870.66,3969.74,36205.14085
1550707200000,2019-02-20T19:00:00,Wednesday,3969.74,4016.48,3901.03,3937.31,31103.884727999997
1550793600000,2019-02-21T19:00:00,Thursday,3937.31,3988.0,3926.65,3962.0,23943.16375
1550880000000,2019-02-22T19:00:00,Friday,3962.0,4162.02,3933.15,4117.76,33657.942882999996
1550966400000,2019-02-23T19:00:00,Saturday,4118.0,4198.0,3712.66,3743.56,62224.18689
