UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1576800000000,2019-12-19T19:00:00,Thursday,7112.8,7832.0,7112.8,7186.9,1.06890546
1576886400000,2019-12-20T19:00:00,Friday,7186.9,7186.9,7050.0,7132.1,6.453678099999999
1576972800000,2019-12-21T19:00:00,Saturday,7132.1,7489.5,7123.7,7489.5,5.04900676
1577059200000,2019-12-22T19:00:00,Sunday,7489.5,7667.5,6666.1,7325.6,13.45503958
1577145600000,2019-12-23T19:00:00,Monday,7325.6,7400.4,7150.0,7235.2,6.58591139
1577232000000,2019-12-24T19:00:00,Tuesday,7235.2,7349.9,7004.7,7204.9,4.96156004
1577318400000,2019-12-25T19:00:00,Wednesday,7204.9,7579.9,7030.7,7229.6,12.466660599999999
1577404800000,2019-12-26T19:00:00,Thursday,7229.6,7263.3,7121.6,7263.3,9.79774869
1577491200000,2019-12-27T19:00:00,Friday,7263.3,7700.8,7263.3,7314.6,4.60656833
1577577600000,2019-12-28T19:00:00,Saturday,7314.6,7464.0,7120.0,7403.1,8.79030366
1577664000000,2019-12-29T19:00:00,Sunday,7403.1,7449.9,7208.2,7236.0,9.16571792
1577750400000,2019-12-30T19:00:00,Monday,7249.4,7289.9,7133.0,7180.9,19.3244923
1577836800000,2019-12-31T19:00:00,Tuesday,7180.9,7331.5,7180.9,7229.0,2.94501813
1577923200000,2020-01-01T19:00:00,Wednesday,7229.0,7279.2,6941.9,6972.1,8.14690137
1578009600000,2020-01-02T19:00:00,Thursday,6972.1,7400.0,6942.4,7316.4,18.4487919
1578096000000,2020-01-03T19:00:00,Friday,7316.4,7372.7,7301.5,7346.4,2.36706035
1578182400000,2020-01-04T19:00:00,Saturday,7346.4,7495.0,7323.7,7323.7,16.18474574
1578268800000,2020-01-05T19:00:00,Sunday,7323.7,7746.3,7323.7,7746.3,10.90648876
1578355200000,2020-01-06T19:00:00,Monday,7835.0,8200.0,7781.4,8151.5,22.36084371
1578441600000,2020-01-07T19:00:00,Tuesday,8151.5,8445.0,7385.0,8117.0,14.91529025
1578528000000,2020-01-08T19:00:00,Wednesday,8117.0,8121.9,7700.2,7828.7,17.39044536
1578614400000,2020-01-09T19:00:00,Thursday,7828.7,8200.9,7695.5,8086.5,6.92484237
1578700800000,2020-01-10T19:00:00,Friday,8086.5,8251.0,7489.8,8073.7,10.36616258
1578787200000,2020-01-11T19:00:00,Saturday,8073.7,8157.0,7950.2,8117.1,3.54608255
1578873600000,2020-01-12T19:00:00,Sunday,8117.1,8185.8,8021.5,8115.0,3.31859074
1578960000000,2020-01-13T19:00:00,Monday,8115.0,8876.5,8115.0,8843.4,20.48229675
1579046400000,2020-01-14T19:00:00,Tuesday,8843.4,8900.0,8628.3,8850.0,14.1195146
1579132800000,2020-01-15T19:00:00,Wednesday,8751.2,8751.2,8566.7,8708.7,10.81303182
1579219200000,2020-01-16T19:00:00,Thursday,8708.7,9010.0,8708.7,8908.7,13.41162879
1579305600000,2020-01-17T19:00:00,Friday,8908.7,8961.5,8835.0,8961.5,7.04923624
1579392000000,2020-01-18T19:00:00,Saturday,8961.5,9181.7,8051.0,8648.9,28.70225208
1579478400000,2020-01-19T19:00:00,Sunday,8648.9,8707.9,8558.8,8699.6,25.02405429
1579564800000,2020-01-20T19:00:00,Monday,8699.6,8779.4,8536.2,8754.0,10.067557800000001
1579651200000,2020-01-21T19:00:00,Tuesday,8718.1,8854.9,8611.2,8675.3,10.791737199999998
1579737600000,2020-01-22T19:00:00,Wednesday,8675.3,8675.3,8292.1,8417.2,10.77747651
1579824000000,2020-01-23T19:00:00,Thursday,8417.2,8516.5,8261.0,8444.0,9.47395298
1579910400000,2020-01-24T19:00:00,Friday,8444.0,8444.0,8251.0,8362.8,11.24998526
1579996800000,2020-01-25T19:00:00,Saturday,8362.8,8613.3,8334.0,8593.1,3.86258367
1580083200000,2020-01-26T19:00:00,Sunday,8593.1,8980.5,8578.1,8901.0,23.486044600000003
1580169600000,2020-01-27T19:00:00,Monday,8901.0,9400.0,8825.1,9372.7,10.50290227
1580256000000,2020-01-28T19:00:00,Tuesday,9372.7,9445.2,9144.5,9301.0,9.0992377
1580342400000,2020-01-29T19:00:00,Wednesday,9301.0,9580.0,9158.7,9569.8,13.79328814
1580428800000,2020-01-30T19:00:00,Thursday,9569.8,9569.8,9239.1,9353.2,11.75837883
1580515200000,2020-01-31T19:00:00,Friday,9353.2,9425.0,9324.3,9380.8,4.3488614000000005
1580601600000,2020-02-01T19:00:00,Saturday,9380.8,9481.7,9175.0,9355.3,15.12552409
1580688000000,2020-02-02T19:00:00,Sunday,9355.3,9600.0,9200.0,9307.7,30.06311417
1580774400000,2020-02-03T19:00:00,Monday,9307.7,9600.0,9101.0,9210.4,25.20081404
1580860800000,2020-02-04T19:00:00,Tuesday,9210.4,9716.8,9188.0,9648.8,8.46810156
1580947200000,2020-02-05T19:00:00,Wednesday,9648.8,9850.0,9542.8,9755.9,24.73953323
1581033600000,2020-02-06T19:00:00,Thursday,9755.9,9892.0,9746.5,9768.0,18.93457023
1581120000000,2020-02-07T19:00:00,Friday,9768.0,9920.0,9684.7,9897.7,6.47603395
1581206400000,2020-02-08T19:00:00,Saturday,9897.7,10159.9,9806.3,10126.7,10.39603528
1581292800000,2020-02-09T19:00:00,Sunday,10126.7,10200.4,9650.0,9877.1,10.29284401
1581379200000,2020-02-10T19:00:00,Monday,9877.1,10317.3,9732.7,10207.1,19.28972424
1581465600000,2020-02-11T19:00:00,Tuesday,10249.0,10425.0,10198.2,10336.1,17.760719199999997
1581552000000,2020-02-12T19:00:00,Wednesday,10336.1,10500.0,9551.0,10230.0,49.78660302
1581638400000,2020-02-13T19:00:00,Thursday,10230.0,10500.0,9451.0,10320.3,40.24203646
1581724800000,2020-02-14T19:00:00,Friday,10320.3,10500.0,9659.6,9899.1,29.68947711
1581811200000,2020-02-15T19:00:00,Saturday,9899.1,10088.4,9631.5,9950.1,18.01898392
1581897600000,2020-02-16T19:00:00,Sunday,9950.1,9950.1,9460.0,9684.6,10.36681978
1581984000000,2020-02-17T19:00:00,Monday,9684.6,10438.5,9603.1,10149.5,22.3412168
1582070400000,2020-02-18T19:00:00,Tuesday,10149.5,10215.8,9385.1,9589.5,40.76469773
1582156800000,2020-02-19T19:00:00,Wednesday,9589.5,9655.7,9420.0,9615.9,34.53441696
1582243200000,2020-02-20T19:00:00,Thursday,9615.9,9743.9,8560.0,9670.9,19.76468573
1582329600000,2020-02-21T19:00:00,Friday,9670.9,9694.8,9494.2,9658.8,9.25628593
